artist_name,track_name,release_date,genre,lyrics
Billie Holiday,I'll Be Seeing You,1957,soul,"I'll be seeing you In all the old familiar places That this heart of mine embraces All day and through In that small café The park across the way The children's carousel The chestnut trees, the wishing well [Verse 2] I'll be seeing you In every lovely summer's day In everything that's light and gay I'll always think of you that way I'll find you in the morning sun And when the night is new I'll be looking at the moon But I'll be seeing you [Verse 3] I'll be seeing you In every lovely summer's day In everything that's light and gay I'll always think of you that way I'll find you in the morning sun And when the night is new I'll be looking at the moon But I'll be seeing you"
KAYTRANADA,What You Need (feat. Charlotte Day Wilson),2019,soul,"Hoo, hoo Oh, oh [Verse 1] I never wanted you to see this part of me I wish you woulda told the truth Oh, than make us settle [Pre-Chorus] Doin' something wrong Always a mile apart Oh and I cannot argue too, all of a sudden Be in my arms Slowin’ my beatin’ heart ‘Cause even when it’s wrong you’ll see [Chorus] That it’s what you need What you need [Instrumental Interlude] [Verse 2] I don’t know where I went wrong, no, baby (So wrong, so wrong) I know that you’ll be the one that got away If you don’t stay, no, mm [Pre-Chorus] I never wanted you To see this part of me Now all I can hope to do Is tell you still [Chorus] That it’s what you need What you need [Outro] Hoo, hoo Hoo, hoo Hoo, hoo Hoo Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh"
Jungle,Keep Moving,2021,soul,"Unless you understand it, then find out what to do Don't think about it, I'll be running with you If I can't understand it, I'll find another way Keep moving, keep moving [Refrain] Keep moving, keep moving Keep moving, keep moving [Verse 2] Main avenue If you're comin' like that, then it's really 'bout time, you know In a new house, in a new place, if you change Keep moving, keep moving [Chorus] I can hear the alarm I won't take it much longer (Keep moving, keep moving) Ah, you're breaking my heart Thanks for making me stronger (Keep moving) [Verse 3] So you think you'll find the truth? If you change When you're livin' like that, you could spin around town, you know In a new house, in the UK, if you change Keep moving, keep moving [Chorus] I can hear the alarm I won't take it much longer (Keep moving, keep moving) Ah, you're breaking my heart Thanks for making me stronger [Bridge] I can live with it, I can live with it all I can live with it, I can live with it all I can live with it, I can live with it all I can live with it, I can live with it all [Verse 4] Unless you understand it, then find out what to do Don't think about it, I'll be running with you If I can't understand it, I'll find another way I could live with it, I could live with it all [Refrain] Keep moving, keep moving Keep moving, keep moving Keep moving, keep moving Keep moving, keep moving"
Stevie Wonder,My Cherie Amour,1969,soul,"La-la, la, la, la, la La-la, la, la, la, la [Verse 1] My cherie amour, lovely as a summer day My cherie amour, distant as the Milky Way My cherie amour, pretty little one that I adore You're the only girl my heart beats for How I wish that you were mine [Verse 2] In a cafe or sometimes on a crowded street I've been near you, but you never noticed me My cherie amour, won't you tell me how could you ignore That behind that little smile I wore How I wish that you were mine [Chorus] La-la, la, la, la, la La-la, la, la, la, la La-la, la, la, la, la La-la, la, la, la, la [Verse 3] Maybe someday, you'll see my face among the crowd Maybe someday, I'll share your little distant cloud Oh, cherie amour, pretty little one that I adore You're the only girl my heart beats for How I wish that you were mine [Chorus] La-la, la, la, la, la La-la, la, la, la, la La-la, la, la, la, la La-la, la, la, la, la"
The Drifters,Under the Boardwalk,1964,soul,"Oh, when the sun beats down And burns the tar up on the roof And your shoes get so hot You wish your tired feet were fireproof Under the boardwalk Down by the sea On a blanket with my baby Is where I'll be [Chorus] (Under the boardwalk) Out of the sun (Under the boardwalk) We'll be havin' some fun (Under the boardwalk) People walking above (Under the boardwalk) We'll be making love Under the boardwalk, boardwalk [Verse 2] From the park you hear The happy sound of a carousel Mmm, you can almost taste The hot dogs and French fries they sell Under the boardwalk Down by the sea, yeah On a blanket with my baby Is where I'll be [Chorus] (Under the boardwalk) Out of the sun (Under the boardwalk) We'll be havin' some fun (Under the boardwalk) People walking above (Under the boardwalk) We'll be making love Under the boardwalk, boardwalk [Refrain] Oh, under the boardwalk Down by the sea, yeah On a blanket with my baby Is where I'll be [Chorus] (Under the boardwalk) Out of the sun (Under the boardwalk) We'll be havin' some fun (Under the boardwalk) People walking above (Under the boardwalk) We'll be falling in love Under the boardwalk, boardwalk"
Fugees,Fu-Gee-La,1996,soul,"Samples “(If Loving You Is Wrong) I Don’t Want to Be Right” performed by Ramsey Lewis[Verse 1: Wyclef Jean] We used to be number ten, now we're permanent at one In the battle, lost my finger, mic became my arm Pistol nozzle hits your nasal, blood becomes lukewarm Tell the woman be easy, nah squeeze the Charmin Test Wyclef, see death flesh get scorned Beat you so bad make you feel like you ain't wanna be born, Jean And tell your friends stay the hell out of my lawn Chicken George become Dead George Stealin' chickens from my farm Damn, another dead pigeon If you're mafiosos then I'm bringin' on Haitian Sicilians Nobody's shootin', my body's made of hand grenade Girl bled to death while she was tongue-kissin' a razor blade That sounds sick, maybe one day I'll write a horror Blackula comes to the ghetto (Stick 'em up), jacks an Acura Stevie Wonder sees crack babies Becomin' enemies of their own families [Pre-Chorus: Wyclef Jean] Armageddon come, you know-a we soon done Gun by my side just in case I gotta rump A boy on the side of Babylon Tryin' to front like you're down with Mount Zion [Chorus: Lauryn Hill & Wyclef Jean] Ooh, la-la-la It's the way that we rock when we're doin' our thing Ooh, la-la-la It's the natural la that the Refugees bring Ooh, la-la-la-la-la-la-la-la-la-la-la Sweet thing (She love me like she never before, ayy) [Verse 2: Lauryn Hill] Yeah, in saloons we drink Boone's and battle goons 'til high noon Bust rap tunes on flat spoons, take no shorts like pum pums See hoochies pop coochies for Guccis and loochies Find me in my Mitsubishi, eatin' sushi, bumpin' Fugees Hey, hey, hey, try to take the crew and we don't play-play Say, say, say, like Paul McCartney, not hardly Oddly enough, I can see right through your bluff Niggas huff and they puff but they can't handle us, we bust 'Cause we fortified, I could never hide Seen Cooley High, cried when Cochise died I'm twisted, blacklisted by some other negroes Don't remove my Polos on the first episode Ha-ha-ha-ha, you shouldn't diss refugees, and Ha-ha-ha-ha, you whole sound set booty, and Ha-ha-ha-ha, you have to respect Jersey 'Cause I'm superfly when I'm super-high On the Fu-Gee-La [Chorus: Lauryn Hill & Wyclef Jean] Ooh, la-la-la It's the way that we rock when we're doin' our thang Ooh, la-la-la It's the natural LA that the Refugees Bring Ooh, la-la-la-la-la-la-la-la-la-la-la Sweet thing (She love me like she never before, ayy) [Verse 3: Pras] I sit 90 degrees underneath palm trees Smokin' Beedi as I burn my calories Brooklyn rooftops become Brooklyn teepees Who that be? Enemy, wanna see the death of me From Hawaii to Hawthorne, I run marathons, like Buju Banton, I'm a true champion, like Farrakhan reads his daily Qur'an It's a phenomenon, lyrics fast like Ramadan [Pre-Chorus: Wyclef] What's goin' on? Armageddon come you know-a we soon done Gun by my side just in case I gotta rump A boy on the side of Babylon Tryin' to front like you're down with Mount Zion What's goin' on? Armageddon come you know-a we soon done Gun by my side just in case I gotta rump A boy on the side of Babylon Tryin' to front like you're down with Mount Zion [Chorus: Lauryn Hill & Wyclef Jean] Ooh, la-la-la It's the way that we rock when we're doin' our thang Ooh, la-la-la It's the natural LA that the Refugees Bring Ooh, la-la-la-la-la-la-la-la-la-la-la Sweet thing (She love me like she never before, ayy) Ooh, la-la-la It's the way that we rock when we're doin' our thang Ooh, la-la-la It's the natural LA that the Refugees Bring Ooh, la-la-la-la-la-la-la-la-la-la-la Sweet thing (She love me like she never before, ayy) [Outro] Yo kid, we gotta get our family together, man (Yeah) You know, we gotta get organized (Ayy, Junior, man) We just can't be out here, you know, just high and smoked up and (Junior, what's up?, come here) Whatever, we gotta get our stuff organized (What you want?) Whatever we gon' do, we gotta do it right, you know (What's up, girl, what you want?) We be captains"
Snoh Aalegra,Nothing Burns Like The Cold,2017,soul,"Can we talk about us Like we care about us? Can we talk about love Like we care about love? [Verse 1: Snoh Aalegra] You say let it breathe But this pain in my heart can't let it be If we both can't agree Then tell me what is the point of... [Chorus: Snoh Aalegra] Nothing burns like the cold, ayy, ayy [Refrain: Snoh Aalegra] Can we talk about us Like we care about us? Can we talk about love Like we care about love? [Verse 2: Snoh Aalegra] We can't let it be 'Cause we live in a time of make-believe We both can agree That we're reachin' the point of... [Chorus: Snoh Aalegra] Nothing burns like the cold, ayy, ayy [Verse 3: Vince Staples] Good mornin', darlin' I see you fallin' In and out of love Is it because you're cold and heartless? Or is it our withdrawals? Forgotten how to be a part of That final scene in Casablanca I guess the heart is like a time bomb No white horse for you to ride on Bygones be bygones My God, you're beautiful If it was two of you Prolly break the first one's heart in two But second time's a charm I had a dream you locked your father's arm And moseyed down the aisleway I know you prolly had a wild day So you should make your way to my place And we can talk about the things you wanna talk about [Bridge: Snoh Aalegra] You know, I know You know, yeah, yeah You know, I know You know [Chorus: Snoh Aalegra] Nothing burns like the cold, ayy, ayy Nothing burns like the cold, ayy, ayy Nothing burns like the cold, ayy, ayy They say nothing burns like the cold [Outro] I get, get, get Get, I get"
Adele,Turning Tables,2011,soul,"Close enough to start a war All that I have is on the floor God only knows what we're fighting for All that I say, you always say more [Pre-Chorus] I can't keep up with your turning tables Under your thumb, I can't breathe [Chorus] So I won't let you close enough to hurt me No, I won't rescue you to just desert me I can't give you the heart you think you gave me It's time to say goodbye to turning tables To turning tables [Verse 2] Under haunted skies, I see you, ooh Where love is lost, your ghost is found I braved a hundred storms to leave you As hard as you try, no, I will never be knocked down [Pre-Chorus] I can't keep up with your turning tables Under your thumb, I can't breathe [Chorus] So I won't let you close enough to hurt me No, I won't rescue you to just desert me I can't give you the heart you think you gave me It's time to say goodbye to turning tables Turning tables [Bridge] Next time, I'll be braver I'll be my own saviour When the thunder calls for me Next time, I'll be braver I'll be my own saviour Standing on my own two feet [Chorus] I won't let you close enough to hurt me No, I won't rescue you to just desert me I can't give you the heart you think you gave me It's time to say goodbye to turning tables To turning tables [Outro] Turning tables, yeah Turn, no, no-oh, mmm"
Tim Maia,O Descobridor Dos Sete Mares,1983,soul,"[Verso 1] Uma luz azul me guia com a firmeza e os lampejos do farol E os recifes lá de cima me avisam dos perigos de chegar Angra dos Reis e Ipanema, Iracema, Itamaracá Porto Seguro, São Vicente, braços abertos sempre a esperar [Refrão] Pois bem, cheguei Quero ficar bem à vontade, na verdade, eu sou assim Descobridor dos sete mares, navegar eu quero [Verso 1] Uma luz azul me guia com a firmeza e os lampejos do farol E os recifes lá de cima me avisam dos perigos de chegar, ai ai Angra dos Reis e Ipanema, Iracema, Itamaracá Porto Seguro, São Vicente, braços abertos sempre a esperar [Refrão] Pois bem, cheguei Quero ficar bem à vontade, na verdade, eu sou assim Descobridor dos sete mares, navegar eu quero [Solo de Guitarra] [Verso 2] Uma lua me ilumina com a clareza e o brilho do cristal Transando as cores dessa vida, vou colorindo a alegria de chegar Boa Viagem, Ubatuba, Grumari, Leme e Guarujá Praia Vermelha, Ilhabela, braços abertos sempre a esperar [Refrão] Pois bem, cheguei Quero ficar bem à vontade, na verdade, eu sou assim Descobridor dos sete mares, navegar eu quero sim"
Sam Cooke,A Change Is Gonna Come,2003,soul,"One of Cooke’s inspirations for the song was… Read More [Verse 1] I was born by the river In a little tent Oh, and just like the river, I've been runnin' Ever since [Chorus] It's been a long A long time comin', but I know A change gon' come Oh, yes it will [Verse 2] It's been too hard livin' But I'm afraid to die 'Cause I don't know what's up there Beyond the sky [Chorus] It's been a long A long time comin', but I know A change gon' come Oh, yes it will [Verse 3] I go to the movie And I go downtown Somebody keep tellin' me ""don't hang around"" [Chorus] It's been a long A long time comin', but I know A change gon' come Oh, yes it will [Verse 4] Then I go to my brother And I say, ""Brother, help me please"" But he winds up Knockin' me Back down on my knees Lor', there been times that I thought I couldn't last for long But now I think I'm able to Carry on [Chorus] It's been a long A long time comin', but I know A change gon' come Oh, yes it will"
Roy Ayers Ubiquity,Everybody Loves The Sunshine,1976,soul,"My life, my life, my life, my life In the sunshine Everybody loves the sunshine Sunshine Everybody loves the sunshine Sunshine Folks get down in the sunshine (Oooh) Sunshine (Yeeea-ah) Folks get brown in the sunshine [Bridge] Just bees, and things, and flowers Just bees, and things, and flowers Just bees, and things, and flowers Just bees, and things, and flowers [Chorus] My life, my life, my life, my life In the sunshine Everybody loves the sunshine Sunshine Everybody loves the sunshine Sunshine Folks get down in the sunshine Sunshine Folks get brown in the sunshine [Verse] Feel what I feel, when I feel what I feel, when I'm feelin' In the sunshine Feel what I feel, when I feel what I feel, when I'm feelin' In the sunshine (Oh yeah yeah yes yes yes) Do what I do, when I do what I do, when I'm doin' In the sunshine Do what I do, when I do what I do, when I'm doin' In the sunshine (Ooooh ha ah!) [Outro] Sunshine (Oooh ow) Everybody loves the sunshine (Oh yeah yeah yeah now)"
Charles & Eddie,Would I Lie To You?,1992,soul,"No, no, no, baby Mhm-mmm La-la-la-la-la-la (Look into my eyes) Would I lie to you, yeah? (Would I lie to you, baby, would I lie to you?) [Chorus] Look into my eyes, can't you see they're open wide? Would I lie to you, baby, would I lie to you? (Oh, yeah) Don't you know it's true, girl, there's no one else but you? Would I lie to you, baby, yeah? Come on [Verse 1] Everybody wants to know the truth In my arms is the only proof I've hidden my heart behind the bedroom door Now it's open, I can't do no more [Pre-Chorus] I'm telling you, baby, you will never find another girl In this heart of mine (Oh-oh, oh) [Chorus] Look into my eyes, can't you see they're open wide? Would I lie to you, baby, would I lie to you? (Oh, yeah) Don't you know it's true, girl, there's no one else but you? Would I lie to you, baby, yeah? Come on (Would I lie to you?) [Verse 2] Everybody's got their history (History) On every page, a mystery (It's a mystery, yeah) You can read my diary, you're in every line Jealous minds, never satisfied [Pre-Chorus] I'm telling you, baby, you will never find another girl In this heart of mine, woo! (In this heart of mine) [Chorus] Look into my eyes, can't you see they're open wide? Would I lie to you, baby, would I lie to you? (Oh, yeah) Don't you know it's true, girl, there's no one else but you? Would I lie to you, baby, yeah? (Would I lie to you?) Come on [Break] (Ooh, look into my eyes) Ooh, ooh (Would I lie to you, baby? Would I lie to you?) Would I lie to you, baby? (Oh, yeah) (Ooh, look into my eyes) Yeah, yeah (Would I lie to you, baby? Would I lie to you?) Oh, oh, oh, oh [Bridge] (Would I lie to you?) When you wanna see me night and day (Would I lie?) If I tell you that I'm here to stay (Would I lie to you?) Do you think I give my love away? (Would I lie?) That's not the kind of game I play [Pre-Chorus] I'm telling you, baby, you will never find another girl In this heart of mine (In this heart of mine, deep in my heart) Woo [Chorus] Look into my eyes, can't you see they're open wide? Would I lie to you, baby, would I lie to you? (Oh, yeah) Don't you know it's true, girl, there's no one else but you? Would I lie to you, baby, yeah? (Would I lie to you?) (Would I lie to you, baby?) Come on Look into my eyes, can't you see they're open wide? Would I lie to you, baby, would I lie to you? (Oh, yeah) Don't you know it's true, girl, there's no one else but you? Would I lie to you, baby, yeah? (Would I lie to you?) (Come on, come on, come on, come on and kiss me, baby) (Ooh, look into my eyes) Hey, woohoo (Would I lie to you, baby, would I lie to you?) There ain't no one else but you (Ooh, look into my eyes) Oh, oh (Would I lie to you, baby, would I lie to you?) Come on, come on, come on, come on and trust me, baby (Ooh, look into my eyes) I won't lie to you, baby (Would I lie to you?) (Oh, yeah) There ain't no-one else but you, darling Tell me what you need, I got what you need, yeah"
Pink Sweat$,At My Worst,2020,soul,"Can I call you baby? Can you be my friend? Can you be my lover up until the very end? Let me show you love, oh, no pretend Stick by my side even when the world is caving in, yeah [Pre-Chorus] Oh, oh, oh, don't, don't you worry I'll be there whenever you want me [Chorus] I need somebody who can love me at my worst Know I'm not perfect, but I hope you see my worth 'Cause it's only you, nobody new, I put you first And for you, girl, I swear I'd do the worst [Post-Chorus] Ooh, ooh-ooh Ooh-ooh-ooh, ooh-ooh-ooh-ooh [Verse 2] If you stay forever, let me hold your hand I can fill those places in your heart no one else can Let me show you love, oh, no pretend, yeah I'll be right here, baby, you know it's sink or swim [Pre-Chorus] Oh, oh, oh, don't, don't you worry I'll be there whenever you want me [Chorus] I need somebody who can love me at my worst Know I'm not perfect, but I hope you see my worth, yeah 'Cause it's only you, nobody new, I put you first (You first) And for you, girl, I swear I'd do the worst [Post-Chorus] Ooh, ooh-ooh Ooh-ooh-ooh, ooh-ooh-ooh-ooh Ooh-ooh-ooh, ooh, ooh-ooh Ooh-ooh-ooh, ooh-ooh-ooh-ooh [Outro] I need somebody who can love me at my worst Know I'm not perfect, but I hope you see my worth 'Cause it's only you, nobody new, I put you first And for you, girl, I swear I'd do the worst"
The Jackson 5,ABC,1970,soul,"A buh-buh buh buh A buh-buh buh buh [Verse 1: Michael Jackson & Jermaine Jackson] You went to school to learn, girl Things you never, never knew before Like ""I before E, except after C"" And why two plus two makes four Now, now, now, I'm gonna teach you (Teach you, teach you) All about love, yeah (All about love) Sit yourself down, take a seat All you gotta do is repeat after me [Chorus: Michael Jackson] A, B, C Easy as 1, 2, 3 Or simple as Do-Re-Mi A, B, C, 1, 2, 3, baby, you and me, girl A, B, C Easy as 1, 2, 3 Or simple as Do-Re-Mi A, B, C, 1, 2, 3, baby, you and me, girl [Bridge: Tito Jackson, Jackie Jackson, Jermaine Jackson & Michael Jackson] Come on, let me love you just a little bit Come on, let me love you just a little bit I'm-a gonna teach how to sing it out Come on, come on, come on Let me show you what it's all about [Verse 2: Michael Jackson & Jermaine Jackson] Reading, writing, 'rithmetic Are the branches of the learning tree But without the roots of love every day, girl Your education ain't complete T-t-t-teachers gonna show you (Show you, show you) How to get an ""A"" (Nyah nyah nyah nyah) Spell me, you (You add the two) Listen to me, baby, that's all you gotta do [Chorus: Michael Jackson] Oh, A, B, C It's easy as 1, 2, 3 Or simple as Do-Re-Mi A, B, C, 1, 2, 3, baby, you and me, girl [Refrain: Michael Jackson] A, B, C, it's easy, it's like counting up to three Sing a simple melody That's how easy love can be Now, that's how easy love can be Sing a simple melody 1, 2, 3, you and me (Yeah) [Bridge: Michael Jackson] Sit down, girl! I think I love you! No! Get up, girl! Show me what you can do! Shake it, shake it, baby, come on now! Shake it, shake it, baby, ooh-ooh Shake it, shake it, baby, huh! 1, 2, 3, baby, ooh-ooh A, B, C, baby, nah nah Do-Re-Mi, baby, ow! That's how easy love can be [Refrain: Michael Jackson] A, B, C, it's easy, it's like counting up to three Sing a simple melody That's how easy love can be [Outro: Jermaine Jackson & Michael Jackson] I'm-a gonna teach you how to sing it out Come on, come on, come on Let me show you what it's all about A, B, C, it's easy, it's like counting up to three Sing a simple melody That's how easy love can be I'm-a gonna teach you how to sing it out, sing it out, sing it out (Oh! Oh! Oh, baby) A, B, C, it's easy, it's like counting up to three Sing a simple melody That's how easy..."
Sade,Hang on to Your Love,1994,soul,"In Heaven's name, why are you walking away? Hang on to your love In Heaven's name, why do you play these games? Hang on to your love [Verse 1] Take time if you're down on luck It's so easy to walk out on love Take your time if the going gets tough It's so precious [Pre-Chorus] So if you want it to get stronger You'd better not let go You gotta hold on longer If you want your love to grow Gotta stick together Hand in glove Hold tight, don't fight Hang on to your love [Chorus] In Heaven's name, why are you walking away? Hang on to your love In Heaven's name, why do you play these games? Hang on to your love [Verse 2] Be brave (Be brave) when the journey is rough It's not easy when you're in love Don't be ashamed (Afraid) when the going gets tough It's not easy don't give up [Pre-Chorus] If you want it to get stronger You'd better not let go You gotta hold on longer If you want your love to grow Gotta stick together Hand in glove Hold tight, don't fight Hang on to your love [Chorus] In Heaven's name, why are you walking away? Hang on to your love In Heaven's name, why do you play these games? Hang on to your love [Bridge] Da da da dee dee da Da da da dee dee da Da (Dee dee da) Da da da dee dee da Da da da dee dee da Da (Dee dee da) Da da da dee dee da Da da da dee dee da Da (Dee dee da) Da da da dee dee da Da da da dee dee da Da (Dee dee da) [Pre-Chorus] So if you want it to get stronger You'd better not let go You gotta hold on longer If you want your love to grow Gotta stick together Hand in glove Hold tight, don't fight Hang on to your love [Chorus] In Heaven's name, why are you walking away? Hang on to your love In Heaven's name, why do you play these games? Hang on to your love [Verse 3] When you find a love (To your love) Don't let it walk away When you find your love (Hang on to your love) You've got to make it stay (Hang on) Hang on to your love Don't let it walk away (Hang on) When you find your love (Hang on to your love) Got to make him stay (Hang on) [Bridge] You've got to hang on to your love (To your love) You've got to hang on to your love (To your love) Why are you walking away? (Why are you walking away?) Why do you play these games? (Hang on, why do you play these games?) [Outro] Da da da dee dee da (Hang on to your love) Da da da dee dee da Da da da dee dee da (Hang on to your love) Da da da dee dee da Da da da dee dee da (Hang on to your love)"
Alicia Keys,Un-thinkable (I'm Ready),2009,soul,"While the theme of the song seems quite simple, it’s about a starting relationship where both persons think the relationship is… Read More [Verse 1] Moment of honesty Someone's gotta take the lead tonight Who's it gonna be? I'm gonna sit right here and tell you all that comes to me If you have somethin' to say, you should say it right now (You should say it right now) (You ready) [Pre-Chorus] You give me a feeling that I never felt before And I deserve it, I think I deserve it It's becoming something that's impossible to ignore And I can't take it [Chorus] I was wonderin', maybe, could I make you my baby? If we do the unthinkable, would it make us look crazy? If you ask me, I'm ready (I'm ready) If you ask me, I'm ready (I'm ready) [Verse 2] I know you said to me ""This is exactly how it should feel when it's meant to be Time is only wasting, so why wait for eventually?"" If we gon' do somethin' 'bout it, we should do it right now (We should do it right now) [Pre-Chorus] You give me a feeling that I never felt before And I deserve it, I know I deserve it It's becoming something that's impossible to ignore It is what we make it [Chorus] I was wonderin', maybe, could I make you my baby? If we do the unthinkable, would it make us look crazy Or would it be so beautiful? Either way, I'm sayin' If you ask me, I'm ready (I'm ready) If you ask me, I'm ready (I'm ready) [Bridge] Yeah, yeah Sayin' Why give up before we try? Feel the lows before the highs Clip our wings before we fly away (Fly away) I can't say I came prepared I'm suspended in the air Won't you come be in the sky with me? [Chorus] I was wonderin', maybe, could I make you my baby? If we do the unthinkable, would it make us look crazy Or would it be so beautiful? Either way, I'm sayin' If you ask me, I'm ready (I'm ready) If you ask me, I'm ready (I'm ready) If you ask me, I'm ready (I'm ready) If you ask me, I'm ready (I'm ready)"
Ravyn Lenae,Genius,2024,soul,"Paradise takes a little patience Give it time, get up in the morning That's alright, never mind what we said last night I realise it takes communication Throwing knives, burning down the kitchen Kiss goodnight, never mind what we said last night [Pre-Chorus] We get it right Every single day but once or twice Some shit gets in the way But it's alright, never mind what we said last night [Chorus] We always come around Don't take a genius to figure out What's wrong with slamming the door The door, the door, the door [Verse 2] Got 'еm out, now I got your attention Baby smile Did I forget to mеntion? That's alright, never mind what we said last night (Last night, last night) And it can take a while (We've been here before) What's wrong with getting wild (I get it) [Pre-Chorus] Can't always get it right Every single day but once or twice Some shit gets in the way But it's alright, never mind what we said last night [Chorus] We always come around (We come around) Don't take a genius to figure out (Figure out) What's wrong with slamming the door The door, the door, the door We always come around (What's love without the conversation?) Don't take a genius to figure out (What's love without some confrontation?) What's wrong with slamming the door (What's love without the conversation?) The door, the door, the door (What's love without some confrontation?)"
Soul II Soul,Back To Life,1989,soul,"Back to life, back to reality Back to life, back to reality [Verse 1] Back to life, back to reality Back to the here and now, oh yeah Show me how, decide what you want from me Tell me maybe I could be there for you [Chorus] However do you want me However do you need me, how However do you want me However do you need me However do you want me However do you need me, how However do you want me However do you need me [Verse 2] Back to life, back to the present time Back from a fantasy, yes Tell me now, take the initiative I'll leave it in your hands until you're ready [Chorus] However do you want me However do you need me, how However do you want me (Hold me now, do you want me?) However do you need me However do you want me (However) However do you need me, how However do you want me However do you need me [Post-Chorus] However do you need me However do you need me However do you need me However do you need me [Bridge] I live at the top of the block No more room for trouble and fuss (No more room, no, no, no there's not) Need a change (Oh), a positive change Look, it's my writing on the wall (Oh, oh, however do you want me, oh) [Chorus] However do you want me However do you need me, how However do you want me, how, how However do you need me However do you want me However do you need me, how However do you want me (Oh) However do you need me (Tell me now, how do you want me to be?) [Instrumental Break] [Verse 3] Back to life, back to the day we had Let's end this foolish game Hear me out, don't let it waste away Make up your mind so I know where I stand [Chorus] However do you want me However do you need me, how However do you want me However do you need me However do you want me However do you need me, how However do you want me However do you need me [Outro] However do you want me However do you need me, how However do you want me However do you need me However do you want me However do you need me, how However do you want me However do you need me"
Gotts Street Park,Everything,2020,soul,"It's time that we blossom like flowers Yeah, yeah, it's time It's time that we take this after hours I know you're shy, but I need a little look or a sign that Tells me you're ready to unwind Into me and let it go, go I can dim the lights if It makes you feel more easy on the mind, yeah We can take it slow There's nothing here to hide Oh, I give you everything, yeah I give you everything, yеah Every little piecе of me, oh Yeah, yeah, this time We're gonna drown in your sweet love There is no shame in your sweet love This is unconditional, my love I know you're shy, but I need a little look or a sign that Tells me you're ready to unwind, yeah Into me and let it go, go I can dim the lights if It makes you feel more easy on the mind, yeah Give it to me slow There's nothing left to hide Oh, when I give you everything, yeah I give you everything, yeah Every single breath that I breathe Every little piece of me So what's it gonna be? Oh, when I give you everything, yeah I give you everything, yeah Every single breath that I breathe Every little piece of me"
Leona Lewis,Better in Time,2007,soul,"Ooh Mm, mm [Verse 1] It's been the longest winter without you I didn't know where to turn to (Ah, ah, ah) See, somehow I can't forget you After all that we've been through (Ah, ah, ah) [Pre-Chorus] Going, coming Thought I heard a knock Who's there? No one Thinking that I deserve it And now I realize that I really didn't know (Ah, ah, ah) If you didn't notice, you mean everything Quickly I'm learning to love again All that I know is, I'ma be okay, yeah (Ah, ah, ah) [Chorus] Thought I couldn't live without you It's gonna hurt when it heals too, oh yeah It'll all get better in time (Oh) And even though I really love you I'm gonna smile 'cause I deserve to It'll all get better in time [Verse 2] I couldn't turn on the TV (No) Without something there to remind me, mm-hmm (Ah, ah, ah) Was it all that easy, mmh? To just put aside your feelings (Ah, ah, ah) [Pre-Chorus] If I'm dreaming, don't wanna laugh Hurt my feelings, but that's the path I believe in, and I know that time will heal it (Ah, ah, ah) If you didn't notice, boy, you meant everything Quickly I'm learnin', ooh, to love again All that I know is, I'ma be okay, yeah (Ah, ah, ah) [Chorus] Thought I couldn't live without you It's gonna hurt when it heals too, oh yeah It'll all get better in time And even though I really love you I'm gonna smile 'cause I deserve to, ooh It'll all get better in time [Bridge] Since there's no more you and me (No more you and me) It's time I let you go so I can be free (Ah, ah, ah) And live my life how it should be (No no no, no no no) No matter how hard it is, I'll be fine without you Yes, I will! [Chorus] Thought I couldn't live without you It's gonna hurt when it heals, too, ohh-oh, oh It'll all get better in time (Ooh, oh) And even though I really loved you I'm gonna smile 'cause I deserve to, yes, I do It'll all get better in time (Ohh, oh) Thought I couldn't live without you It's gonna hurt when it heals, too, yes It'll all get better in time (Ohh, oh) And even though I really loved you Gonna smile 'cause I deserve to, ooh It'll all get better in time"
Tim Maia,Gostava Tanto De Você,1973,soul,"[Verso 1] Nem sei por que você se foi Quantas saudades eu senti E de tristezas vou viver E aquele adeus não pude dar Você marcou na minha vida Viveu, morreu na minha história Chego a ter medo do futuro E da solidão que em minha porta bate [Refrão] E eu Gostava tanto de você Gostava tanto de você [Verso 2] Eu corro, fujo desta sombra Em sonho vejo este passado E na parede do meu quarto Ainda está o seu retrato Não quero ver pra não lembrar Pensei até em me mudar Lugar qualquer que não exista O pensamento em você [Refrão] E eu Gostava tanto de você Gostava tanto de você [Verso 1] Não sei porque você se foi Quantas saudades eu senti E de tristezas vou viver E aquele adeus não pude dar Você marcou em minha vida Viveu, morreu na minha história Chego a ter medo do futuro E da solidão que em minha porta bate [Refrão] E eu Gostava tanto de você Gostava tanto de você [Verso 2] Eu corro, fujo desta sombra Em sonho vejo este passado E na parede do meu quarto Ainda está o seu retrato Não quero ver pra não lembrar Pensei até em me mudar Lugar qualquer que não exista O pensamento em você [Refrão] E eu Gostava tanto de você Gostava tanto de você [Saída] Eu gostava tanto de você! Eu gostava tanto de você! Eu gostava tanto de você! Eu gostava tanto de você!"
